2018-09-12 11:55:19	Lloyd Cole	Lloyd Cole	Trigger Happy
2018-09-12 11:58:19	Lloyd Cole	Lloyd Cole	Sentimental Fool
2018-09-12 12:01:43	Lloyd Cole	Lloyd Cole	I Didn't Know That You Cared
2018-09-12 12:05:55	Lloyd Cole	Lloyd Cole	Love Ruins Everything
2018-09-12 12:09:14	Lloyd Cole	Lloyd Cole	Baby
2018-09-12 12:13:10	Lloyd Cole	Lloyd Cole	Be There
2018-09-12 12:17:56	Lloyd Cole	Lloyd Cole	Unhappy Song (The June Bride)
2018-09-12 12:21:35	Lloyd Cole	Lloyd Cole	Like Lovers Do
2018-09-12 12:25:34	Lloyd Cole	Lloyd Cole	Happy For You
2018-09-12 12:29:24	Lloyd Cole	Lloyd Cole	Traffic
2018-09-12 12:34:18	Lloyd Cole	Lloyd Cole	For Crying Out Loud
2018-09-12 12:44:55	Roddy Frame	Roddy Frame	White Pony
2018-09-12 12:48:43	Roddy Frame	Roddy Frame	Postcard
2018-09-12 12:52:26	Roddy Frame	Roddy Frame	Into The Sun
2018-09-12 12:56:17	Roddy Frame	Roddy Frame	Rear View Mirror
2018-09-12 13:11:03	Roddy Frame	Roddy Frame	In Orbit
2018-09-12 13:14:19	Roddy Frame	Roddy Frame	Forty Days Of Rain
2018-09-12 13:18:09	Roddy Frame	Roddy Frame	English Garden
2018-09-12 14:00:11	Simple Minds	Simple Minds	Magic
2018-09-12 14:04:47	Simple Minds	Simple Minds	Summer
2018-09-12 14:09:44	Simple Minds	Simple Minds	Utopia
2018-09-12 14:13:58	Simple Minds	Simple Minds	The Signal and the Noise
2018-09-12 14:19:17	Simple Minds	Simple Minds	In Dreams
2018-09-12 14:23:33	Simple Minds	Simple Minds	Barrowland Star
2018-09-12 14:29:58	Simple Minds	Simple Minds	Walk Between Worlds
2018-09-12 14:35:11	Simple Minds	Simple Minds	Sense of Discovery
2018-09-12 14:41:34	Simple Minds	Simple Minds	Silent Kiss
2018-09-12 14:46:32	Simple Minds	Simple Minds	Angel Underneath My Skin
